省钱小管家,早上好啊
省钱小管家,"驳友 宽松T恤   【3件45】
两件29.8！！三件45啊！！发过很多次了，质量挺好的，找小伙伴一起拼单啦"
省钱小管家,"短袖t恤 24.9入
2件39.9，歀式多样！！这个好看呀！！"
省钱小管家,"漏洞！！
漏洞！！
歌卡缇 INS百搭网纱老爹运动鞋    2双49.8
拍两件！！！拍两件！！算下来一双才二十多块！！还带内增高~两双！！！"
省钱小管家,"竖款百搭潮包     9.99入
大白菜啊！可调节肩带！夏天随便装个手机就出门了"
省钱小管家,"只有黄色！！最后400件库存！！

韩都衣舍同kuan与媗竹节棉短袖   39入

喜欢的快抢啊！"
省钱小管家,"干湿两用葫芦 3个装+送支架  ，6.8入
赠一个收纳架！上次抢了5万件！干湿两用的款，遇水变大！ 这个很方便的啊！！"
省钱小管家,"2瓶！！
2瓶！！
RECIPE/莱斯璧 娜扎同歀水晶防晒喷雾SPF50++150ml*2支， 89入
SPF50+对抗UVB达10小时以上，不管怎么算，都是划蒜的！！出门必备，一个夏天2支都不够用的！
L省钱白菜君的秒拍视频"
省钱小管家,"史低价！！！
百孝先 纳米喷雾补水仪   9.9起
前2个选项起，可喷牛奶以及10%爽肤水，这个你们抓紧"
省钱小管家,"法兰琳卡的面mo40片 59入
拍2件！！！超hua蒜的！！！！到手40片啊！！！一片才1快多！"
省钱小管家,"短袖t恤     24.9入
2件39.9，歀式多样！！这个好看呀！！换洗穿正好！"
省钱小管家,"重磅推荐！！

凯索智能APP体脂秤    29.9入
之前活动最便宜也是39.9！！超市起码也是大几十啊！！有减肥前后数据对比！ 监督你的肉肉！"
省钱小管家,"日本花印温和卸妆水   19  
旗 舰店！！日常价99ml都是29的啊！！很温和没有酒精味，不会刺激肌肤，无限回购款！！！"
省钱小管家,"丽亚斯葫芦美妆蛋 6.8入
超zhi3个装还颂收纳架！！史低，这个真的很hua算了！！！"
省钱小管家,"凉拖 3.9入
家里来人的时候正好备这个啊！！这个jia真的不错！！快囤呀！"
